Date,Open,High,Low,Close,Adj Close,Volume,ADTV 10,ADTV Std 10
2011-08-16,5.226,5.308,5.166,5.22,5.22,2688500,8642653,12390400
2011-08-17,5.278,5.33,5.102,5.166,5.166,3218500,8014565,13053769
2011-08-18,5.0,5.03,4.694,4.852,4.852,5283000,6947806,15194404
2011-08-19,4.772,4.844,4.4,4.46,4.46,6876500,6546580,16900321
2011-08-22,4.622,4.76,4.336,4.39,4.39,4930500,5695258,14830201
2011-08-23,4.386,4.622,4.3,4.592,4.592,4345000,5377925,13675204
2011-08-24,4.62,4.786,4.566,4.774,4.774,3421500,4906242,12187081
2011-08-25,4.774,4.774,4.58,4.622,4.622,3399000,4780724,11560000
2011-08-26,4.542,4.79,4.414,4.746,4.746,3809000,4644522,11431161
2011-08-29,4.844,4.97,4.804,4.942,4.942,4017000,4663302,11175649
2011-08-30,4.9,4.954,4.818,4.926,4.926,1831000,4579430,8561476
2011-08-31,4.96,5.1,4.856,4.948,4.948,4119000,4661093,10252804
2011-09-01,4.932,4.974,4.768,4.8,4.8,4240500,4565009,10304100
2011-09-02,4.732,4.798,4.536,4.614,4.614,3849500,4252700,9690769
2011-09-06,4.5,4.64,4.458,4.588,4.588,4049000,4133320,9672100
2011-09-07,4.678,4.8,4.656,4.768,4.768,2296000,3916482,7772944
2011-09-08,4.716,4.806,4.656,4.722,4.722,2528500,3805498,7700625
2011-09-09,4.674,4.714,4.51,4.594,4.594,3346500,3789149,8415801
2011-09-12,4.5,4.662,4.49,4.576,4.576,2833000,3689914,7879249
2011-09-13,4.602,4.82,4.55,4.816,4.816,3632500,3641541,8520561
2011-09-14,4.85,4.968,4.758,4.868,4.868,4154000,3869004,9036036
2011-09-15,4.916,4.986,4.866,4.964,4.964,2813000,3761150,7656289
2011-09-16,4.956,5.168,4.898,5.16,5.16,7085500,4034865,11737476
2011-09-19,4.99,5.162,4.764,5.154,5.154,5787000,4255986,10850436
2011-09-20,5.196,5.32,5.134,5.202,5.202,5902000,4463398,10903204
2011-09-21,5.19,5.39,5.14,5.17,5.17,4938000,4748339,10029889
2011-09-22,5.128,5.222,4.976,5.126,5.126,3879000,4911883,8994001
2011-09-23,5.098,5.324,5.07,5.276,5.276,5782000,5171788,10929636
2011-09-26,5.304,5.304,4.98,5.104,5.104,4674000,5381878,10188864
2011-09-27,5.2,5.398,5.114,5.238,5.238,3372500,5376887,8988004
2011-09-28,5.2,5.3,4.902,4.918,4.918,3616500,5322638,9253764
2011-09-29,5.144,5.164,4.71,4.824,4.824,4648000,5500713,10484644
2011-09-30,4.96,4.978,4.698,4.878,4.878,6680500,5478021,12787776
2011-10-03,4.99,5.0,4.65,4.746,4.746,5116000,5408652,11566801
2011-10-04,4.658,4.864,4.586,4.732,4.732,6001500,5411665,12425625
2011-10-05,4.806,5.168,4.67,5.074,5.074,6147500,5532916,12737761
2011-10-06,5.074,5.52,5.004,5.392,5.392,8845500,6041691,15578809
2011-10-07,5.396,5.52,5.21,5.398,5.398,6558000,6170169,13675204
2011-10-10,5.462,5.636,5.4,5.576,5.576,4617500,6177366,11621281
2011-10-11,5.502,5.554,5.418,5.522,5.522,2878500,6128686,9753129
2011-10-12,5.45,5.6,5.44,5.56,5.56,5617000,6323868,12404484
2011-10-13,5.526,5.694,5.488,5.588,5.588,5217500,6400336,12362256
2011-10-14,5.6,5.71,5.452,5.61,5.61,7002500,6440183,14235529
2011-10-17,5.572,5.6,5.452,5.484,5.484,3772500,6309818,11289600
2011-10-18,5.46,5.686,5.342,5.668,5.668,4998500,6196481,12299049
2011-10-19,5.604,5.612,5.46,5.514,5.514,3964500,5966848,11404129
2011-10-20,5.488,5.494,5.4,5.468,5.468,4998500,5559184,12306064
2011-10-21,5.48,5.66,5.402,5.606,5.606,5713000,5433918,13032100
2011-10-24,5.574,5.778,5.55,5.71,5.71,4703000,5429941,12020089
2011-10-25,5.646,5.772,5.56,5.65,5.65,3272000,5468894,10426441
2011-10-26,5.638,5.674,5.48,5.596,5.596,2552500,5166339,9431041
2011-10-27,5.668,5.79,5.622,5.752,5.752,4347000,5049033,10989225
2011-10-28,5.7,6.0,5.602,5.974,5.974,6320000,4969053,12967201
2011-10-31,5.9,5.902,5.75,5.874,5.874,5670000,5150805,12404484
